Index,R_Value,G_Value,B_Value,C_Value,Color_Temp,Lux,Color_Name,Timestamp
138,1130,6796,2515,10786,9870,8518,Green,19098
162,1174,6829,2535,10890,9617,8542,Green,19817
176,1176,6830,2536,10894,9607,8542,Green,20536
204,1189,6831,2538,10912,9523,8538,Green,21256
218,1192,6832,2539,10918,9506,8538,Green,21975
218,1192,6832,2539,10919,9506,8538,Green,22693
18,1201,6837,2543,10937,9458,8540,Green,23413
18,1198,6840,2543,10936,9478,8545,Green,24132
4,1196,6838,2542,10931,9488,8544,Green,24851
246,1196,6836,2541,10929,9485,8541,Green,25570
184,990,5817,2116,9324,9534,7311,Green,-31806
218,1055,5880,2155,9502,9173,7361,Green,-31086
158,1082,5908,2169,9576,9028,7386,Green,-30367
228,1092,5920,2174,9604,8976,7398,Green,-29648
126,1112,5942,2185,9660,8877,7418,Green,-28930
154,1115,5946,2187,9670,8864,7422,Green,-28210
140,1114,5945,2186,9666,8867,7421,Green,-27491
140,1111,5944,2186,9662,8887,7421,Green,-26772
154,1113,5947,2187,9667,8877,7424,Green,-26052
196,1119,5953,2190,9684,8847,7429,Green,-25333
64,446,2943,9312,12749,15403,-2315,Blue,-18048
46,477,2969,9329,12829,10369,-2296,Blue,-17330
214,501,2987,9341,12887,6891,-2284,Blue,-16611
14,507,2992,9345,12904,6080,-2281,Blue,-15891
42,511,2995,9347,12914,5545,-2279,Blue,-15172
242,504,2989,9343,12895,6483,-2284,Blue,-14453
228,501,2987,9342,12890,6898,-2285,Blue,-13733
102,487,2973,9333,12848,8870,-2296,Blue,-13015
228,500,2985,9342,12885,7041,-2288,Blue,-12296
56,504,2992,9348,12903,6521,-2283,Blue,-11577
218,312,3075,10024,13289,21550,-2584,Blue,-4041
234,394,3142,10072,13501,-17739,-2540,Blue,-3321
2,416,3162,10090,13565,-24891,-2529,Blue,-2602
58,419,3164,10093,13575,-25985,-2529,Blue,-1884
86,420,3165,10095,13579,-26245,-2529,Blue,-1164
128,420,3166,10098,13584,-26214,-2530,Blue,-445
156,420,3167,10100,13587,-26194,-2529,Blue,274
240,421,3169,10106,13596,-26411,-2531,Blue,993
40,421,3169,10109,13600,-26648,-2533,Blue,1713
54,420,3169,10111,13600,-26080,-2534,Blue,2432
72,3489,1977,1008,6370,2450,1249,Yellow,12077
178,3429,1928,981,6229,2437,1211,Yellow,12795
238,3633,2089,1081,6722,2494,1326,Yellow,13515
238,3636,2092,1082,6728,2494,1329,Yellow,14234
10,3637,2094,1083,6733,2495,1331,Yellow,14953
66,3643,2100,1087,6750,2498,1336,Yellow,15672
122,3648,2104,1090,6764,2500,1338,Yellow,16392
80,3641,2099,1087,6748,2499,1335,Yellow,17111
232,3554,2035,1047,6550,2480,1291,Yellow,17829
194,3321,1828,918,5941,2390,1135,Yellow,18549
218,3695,2092,1061,6731,2441,1325,Yellow,25140
78,3670,2076,1051,6680,2438,1315,Yellow,25859
228,3711,2111,1075,6790,2455,1340,Yellow,26577
226,3840,2214,1139,7104,2490,1414,Yellow,27296
254,3844,2217,1141,7114,2490,1416,Yellow,28016
12,3846,2219,1142,7119,2491,1417,Yellow,28735
12,3844,2219,1142,7117,2491,1418,Yellow,29454
40,3849,2223,1144,7128,2492,1421,Yellow,30173
212,3833,2213,1138,7095,2491,1415,Yellow,30893
212,3833,2213,1138,7095,2491,1415,Yellow,31611
136,4080,5467,7009,16417,7983,2174,White,-29056
136,4080,5468,7009,16419,7983,2175,White,-28338
164,4086,5473,7010,16432,7973,2181,White,-27619
178,4084,5474,7010,16433,7976,2183,White,-26899
178,4083,5477,7011,16435,7979,2187,White,-26180
178,4083,5477,7011,16435,7979,2187,White,-25461
164,4081,5477,7010,16432,7981,2189,White,-24741
164,4080,5477,7009,16431,7981,2190,White,-24023
50,3973,5392,6953,16170,8112,2131,White,-23304
