Index,R_Value,G_Value,B_Value,C_Value,Color_Temp,Lux,Color_Name,Timestamp
0,473,1707,4843,6977,-23336,-1003,Blue,27910
1,476,1711,4845,6987,-23671,-1000,Blue,28630
2,469,1705,4837,6968,-23188,-1001,Blue,29348
3,463,1701,4832,6954,-22675,-1002,Blue,30067
4,465,1700,4830,6953,-22879,-1002,Blue,30786
5,467,1701,4831,6957,-23056,-1002,Blue,31505
6,468,1701,4830,6956,-23156,-1002,Blue,32223
7,470,1704,4832,6964,-23322,-999,Blue,-32595
8,470,1705,4832,6966,-23404,-998,Blue,-31877
9,471,1706,4833,6969,-23486,-997,Blue,-31158
10,476,1709,4833,6977,-23932,-994,Blue,-27935
11,473,1707,4831,6969,-23601,-995,Blue,-27217
12,473,1707,4832,6971,-23674,-995,Blue,-26499
13,474,1708,4832,6973,-23763,-994,Blue,-25780
14,473,1708,4832,6971,-23593,-994,Blue,-25061
15,473,1708,4831,6971,-23682,-993,Blue,-24342
16,477,1710,4832,6979,-24028,-992,Blue,-23624
17,480,1713,4834,6986,-24273,-990,Blue,-22906
18,480,1712,4833,6985,-24281,-990,Blue,-22188
19,478,1711,4835,6982,-24011,-993,Blue,-21469
20,3059,485,469,3899,1913,-570,Red,-8545
21,3059,486,470,3900,1915,-570,Red,-7825
22,3061,487,470,3901,1913,-569,Red,-7106
23,3057,484,469,3893,1913,-571,Red,-6388
24,3044,476,463,3864,1906,-575,Red,-5670
25,3042,472,461,3854,1903,-580,Red,-4952
26,3043,470,460,3850,1900,-582,Red,-4233
27,3037,466,458,3839,1899,-585,Red,-3514
28,3040,468,459,3844,1900,-584,Red,-2795
29,3040,468,459,3844,1900,-584,Red,-2076
30,3040,468,460,3845,1901,-584,Red,71
31,3035,464,457,3831,1897,-587,Red,791
32,3021,452,450,3796,1889,-596,Red,1510
33,3016,449,448,3785,1886,-598,Red,2228
34,3021,453,450,3798,1889,-595,Red,2946
35,3021,453,450,3798,1889,-595,Red,3664
36,3021,453,451,3799,1890,-595,Red,4383
37,3021,453,451,3798,1890,-595,Red,5102
38,3000,436,441,3747,1879,-608,Red,5821
39,2997,434,439,3739,1876,-609,Red,6539
40,1772,1763,4969,8326,12438,-1429,Purple,12896
41,1772,1764,4969,8327,12438,-1427,Purple,13615
42,1774,1766,4970,8331,12427,-1426,Purple,14333
43,1774,1766,4970,8331,12427,-1426,Purple,15052
44,1772,1765,4969,8327,12438,-1426,Purple,15771
45,1771,1764,4967,8323,12440,-1426,Purple,16490
46,1771,1764,4967,8321,12444,-1426,Purple,17208
47,1771,1764,4967,8321,12444,-1426,Purple,17926
48,1770,1764,4967,8321,12451,-1425,Purple,18644
49,1771,1764,4967,8321,12444,-1426,Purple,19363
50,1770,1764,4966,8319,12449,-1425,Purple,20773
51,1770,1764,4966,8319,12449,-1425,Purple,21492
52,1772,1766,4967,8324,12438,-1423,Purple,22211
53,1769,1763,4966,8316,12459,-1426,Purple,22930
54,1770,1763,4965,8314,12455,-1425,Purple,23648
55,1769,1764,4964,8316,12451,-1423,Purple,24366
56,1768,1763,4964,8313,12462,-1424,Purple,25084
57,1768,1764,4963,8314,12455,-1422,Purple,25803
58,1769,1764,4959,8312,12439,-1419,Purple,26522
59,1769,1763,4951,8302,12421,-1415,Purple,27241
60,3419,4869,6101,14166,8290,2109,White,32421
61,3417,4869,6101,14165,8294,2110,White,-32395
62,3414,4869,6099,14160,8298,2112,White,-31676
63,3411,4867,6097,14153,8302,2112,White,-30957
64,3407,4864,6095,14143,8308,2110,White,-30239
65,3403,4862,6094,14137,8315,2108,White,-29521
66,3406,4864,6095,14143,8310,2110,White,-28803
67,3404,4864,6092,14138,8311,2113,White,-28084
68,3403,4863,6092,14136,8313,2111,White,-27365
69,3401,4862,6091,14133,8315,2111,White,-26646
70,3396,4859,6087,14120,8322,2111,White,-25363
71,3396,4859,6087,14119,8322,2111,White,-24643
72,3393,4857,6086,14115,8326,2110,White,-23925
73,3390,4855,6084,14107,8331,2109,White,-23207
74,3390,4856,6084,14108,8331,2111,White,-22489
75,3391,4857,6084,14111,8328,2112,White,-21770
76,3389,4856,6083,14106,8332,2112,White,-21051
77,3389,4856,6083,14106,8332,2112,White,-20332
78,3385,4853,6080,14096,8337,2110,White,-19614
79,3385,4854,6080,14096,8337,2112,White,-18896
80,1758,1767,4936,8282,12455,-1394,Purple,-1518
81,1758,1767,4936,8281,12460,-1394,Purple,-800
82,1758,1767,4937,8282,12462,-1395,Purple,-82
83,1766,1772,4941,8301,12414,-1392,Purple,636
84,1766,1772,4941,8301,12414,-1392,Purple,1355
85,1765,1772,4941,8300,12420,-1392,Purple,2074
86,1766,1772,4942,8302,12416,-1393,Purple,2793
87,1766,1773,4943,8304,12418,-1392,Purple,3511
